rec_num,prov,cma,age_12,sex,marstat,educ,mjh,cowmain,immig,naics_21,noc_10,noc_43,uhrsmain,ahrsmain,utothrs,atothrs,hrsaway,paidot,unpaidot,xtrahrs,tenure,hrlyearn,union,permtemp,estsize,firmsize,efamtype
1,-0.001730905,0.002762924,0.001760452,-0.000972814,-0.000157151,0.00224517,-0.005783207,-0.001635001,0.000856802,0.000275714,0.001803555,0.002397723,-0.007433824,-0.008999433,-0.008393942,-0.009781207,0.001702628,-0.007075214,0.000480288,-0.005292022,0.001745886,-0.007793245,0.000608081,-0.001627038,0.004073247,0.000693761,-0.005524848
-0.001730905,1,0.4578048,-0.029654748,-0.02257023,-0.018227385,-0.007011889,0.029757946,0.052772226,-0.139089127,-0.038206189,0.021102037,0.021646399,0.029066015,0.028613084,0.039120909,0.037765213,0.000439177,0.026720022,0.013209728,0.029510938,-0.045309375,0.073458848,0.052610824,-0.030980577,-0.034616982,-0.026517474,0.016066817
0.002762924,0.4578048,1,0.003566931,0.001379634,-0.004696882,0.105221561,0.009218241,0.051281465,-0.22437436,0.025124506,-0.079523146,-0.080335046,-0.011596135,-0.000945311,-0.004934191,0.002751782,-0.008925402,-0.030715423,0.036504002,-0.001151761,-0.028512464,0.095048033,0.069494733,-8.27E-05,0.055265507,0.02368952,0.048447698
0.001760452,-0.029654748,0.003566931,1,0.015127781,-0.345266643,-0.040727638,-0.024911635,-0.061214889,0.020852082,0.003678953,-0.059873046,-0.059954433,0.016446158,0.020088833,0.00404948,0.012990174,0.005729591,-0.019129998,0.058824227,0.022163874,0.492206291,0.145621256,-0.046930305,-0.105742303,0.025815538,0.035222586,-0.035040463
-0.000972814,-0.02257023,0.001379634,0.015127781,1,0.002394956,0.116068121,0.027762178,-0.18889035,-0.004070795,0.295805871,-0.256138826,-0.241356763,-0.204305734,-0.166292979,-0.169769147,-0.152862597,0.026153643,-0.085758669,0.020748905,-0.054680349,0.018470684,-0.122187691,-0.070504154,0.028116379,0.013303922,0.03194376,0.074903973
-0.000157151,-0.018227385,-0.004696882,-0.345266643,0.002394956,1,-0.122352246,0.009369361,0.05267402,0.107912371,0.006290117,0.090124763,0.099252351,-0.024276594,-0.022768841,-0.018230606,-0.019741041,-0.020774126,-0.003469565,-0.046680788,-0.032341059,-0.20055657,-0.191160828,0.019841835,0.064509458,-0.056422264,-0.053364018,0.262631752
0.00224517,-0.007011889,0.105221561,-0.040727638,0.116068121,-0.122352246,1,0.045403394,-0.229299978,-0.15388503,0.223182028,-0.352817724,-0.377127432,-0.092432678,-0.029136446,-0.065974402,-0.017291776,0.019803445,-0.040775958,0.142927405,0.058365,-0.026072194,0.348732619,-0.073509691,0.030401813,0.183550073,0.165977712,-0.086057354
-0.005783207,0.029757946,0.009218241,-0.024911635,0.027762178,0.009369361,0.045403394,1,-0.039071965,-0.037209313,0.063104608,-0.015846567,-0.011008467,-0.025848807,-0.044618271,0.401271994,0.24851194,0.032537853,-0.007215861,0.003584347,-0.003435235,-0.044794462,-0.031946306,-0.01747942,0.024358023,-0.015439298,-0.002896492,0.009143453
-0.001635001,0.052772226,0.051281465,-0.061214889,-0.18889035,0.05267402,-0.229299978,-0.039071965,1,-0.088428482,-0.487957823,0.190357144,0.195168332,0.160062522,0.098914289,0.129165871,0.087662828,-0.054423935,-0.006413425,-0.0655229,-0.046615968,-0.170174309,-0.152012875,0.59374291,-0.097494418,-0.299926512,-0.346132982,0.016376983
0.000856802,-0.139089127,-0.22437436,0.020852082,-0.004070795,0.107912371,-0.15388503,-0.037209313,-0.088428482,1,-0.006024172,0.013046145,0.014270768,0.00358686,0.007440714,-0.025890156,-0.013598899,0.015841572,0.02345081,0.031333277,0.038415689,0.127796533,0.049920715,-0.077157379,-0.022002782,-0.04517274,-0.021160361,-0.033750292
0.000275714,-0.038206189,0.025124506,0.003678953,0.295805871,0.006290117,0.223182028,0.063104608,-0.487957823,-0.006024172,1,-0.320717329,-0.300225276,-0.221047913,-0.156107158,-0.16661041,-0.131136288,0.032464736,-0.061286044,0.039789489,-0.023250228,0.035443155,0.007858271,-0.255409416,0.072594337,0.062381215,0.098667806,0.011864187
0.001803555,0.021102037,-0.079523146,-0.059873046,-0.256138826,0.090124763,-0.352817724,-0.015846567,0.190357144,0.013046145,-0.320717329,1,0.992136001,0.144770014,0.078895297,0.122552825,0.072512818,-0.008401009,0.101327534,-0.140217403,-0.008750159,-0.059310042,-0.328609346,-0.067461343,0.008238644,-0.11618976,-0.110786601,0.040721356
0.002397723,0.021646399,-0.080335046,-0.059954433,-0.241356763,0.099252351,-0.377127432,-0.011008467,0.195168332,0.014270768,-0.300225276,0.992136001,1,0.133436354,0.067076241,0.11592547,0.063535697,-0.010302332,0.097660668,-0.152707953,-0.019569946,-0.068998977,-0.366739155,-0.064622962,0.010894935,-0.137354214,-0.121902831,0.048211653
-0.007433824,0.029066015,-0.011596135,0.016446158,-0.204305734,-0.024276594,-0.092432678,-0.025848807,0.160062522,0.00358686,-0.221047913,0.144770014,0.133436354,1,0.575649564,0.842153911,0.535098168,0.010056155,0.09976133,0.014478762,0.088091624,-0.007834406,0.021982303,0.080483397,-0.027709834,-0.005156744,-0.029442961,-0.024027734
-0.008999433,0.028613084,-0.000945311,0.020088833,-0.166292979,-0.022768841,-0.029136446,-0.044618271,0.098914289,0.007440714,-0.156107158,0.078895297,0.067076241,0.575649564,1,0.470724962,0.922643449,-0.504499605,0.392942542,0.308205734,0.506228785,0.010370599,0.093557474,0.048189421,-0.027408003,0.020948731,0.008991323,-0.02430486
-0.008393942,0.039120909,-0.004934191,0.00404948,-0.169769147,-0.018230606,-0.065974402,0.401271994,0.129165871,-0.025890156,-0.16661041,0.122552825,0.11592547,0.842153911,0.470724962,1,0.628249262,0.023540745,0.083874954,0.009917948,0.072633758,-0.025334038,-0.003025764,0.06445429,-0.016713479,-0.012810319,-0.027098558,-0.015930251
-0.009781207,0.037765213,0.002751782,0.012990174,-0.152862597,-0.019741041,-0.017291776,0.24851194,0.087662828,-0.013598899,-0.131136288,0.072512818,0.063535697,0.535098168,0.922643449,0.628249262,1,-0.460854995,0.36716887,0.286923599,0.472348337,-0.002778259,0.073951576,0.042958563,-0.023653359,0.013143594,0.007828645,-0.01867374
0.001702628,0.000439177,-0.008925402,0.005729591,0.026153643,-0.020774126,0.019803445,0.032537853,-0.054423935,0.015841572,0.032464736,-0.008401009,-0.010302332,0.010056155,-0.504499605,0.023540745,-0.460854995,1,-0.006478677,-0.023982041,-0.020329795,0.031953564,0.016144767,-0.048655602,-0.002300149,0.023440816,0.029205462,-0.008863473
-0.007075214,0.026720022,-0.030715423,-0.019129998,-0.085758669,-0.003469565,-0.040775958,-0.007215861,-0.006413425,0.02345081,-0.061286044,0.101327534,0.097660668,0.09976133,0.392942542,0.083874954,0.36716887,-0.006478677,1,-0.027589438,0.773513414,0.003897039,0.014068606,-0.087749288,0.012016475,0.040107309,0.043449937,-0.012910393
0.000480288,0.013209728,0.036504002,0.058824227,0.020748905,-0.046680788,0.142927405,0.003584347,-0.0655229,0.031333277,0.039789489,-0.140217403,-0.152707953,0.014478762,0.308205734,0.009917948,0.286923599,-0.023982041,-0.027589438,1,0.612197873,0.069342219,0.240380065,0.015548083,-0.008397161,0.045235912,0.068087527,-0.020672438
-0.005292022,0.029510938,-0.001151761,0.022163874,-0.054680349,-0.032341059,0.058365,-0.003435235,-0.046615968,0.038415689,-0.023250228,-0.008750159,-0.019569946,0.088091624,0.506228785,0.072633758,0.472348337,-0.020329795,0.773513414,0.612197873,1,0.047047022,0.163534423,-0.059552372,0.004181121,0.060405641,0.077538089,-0.02331896
0.001745886,-0.045309375,-0.028512464,0.492206291,0.018470684,-0.20055657,-0.026072194,-0.044794462,-0.170174309,0.127796533,0.035443155,-0.059310042,-0.068998977,-0.007834406,0.010370599,-0.025334038,-0.002778259,0.031953564,0.003897039,0.069342219,0.047047022,1,0.210044808,-0.167676552,-0.183108408,0.129426671,0.146722566,-0.036414138
-0.007793245,0.073458848,0.095048033,0.145621256,-0.122187691,-0.191160828,0.348732619,-0.031946306,-0.152012875,0.049920715,0.007858271,-0.328609346,-0.366739155,0.021982303,0.093557474,-0.003025764,0.073951576,0.016144767,0.014068606,0.240380065,0.163534423,0.210044808,1,-0.032688986,-0.078538083,0.257765978,0.222714876,-0.102565138
0.000608081,0.052610824,0.069494733,-0.046930305,-0.070504154,0.019841835,-0.073509691,-0.01747942,0.59374291,-0.077157379,-0.255409416,-0.067461343,-0.064622962,0.080483397,0.048189421,0.06445429,0.042958563,-0.048655602,-0.087749288,0.015548083,-0.059552372,-0.167676552,-0.032688986,1,-0.053930175,-0.272764928,-0.327886198,0.000501717
-0.001627038,-0.030980577,-8.27E-05,-0.105742303,0.028116379,0.064509458,0.030401813,0.024358023,-0.097494418,-0.022002782,0.072594337,0.008238644,0.010894935,-0.027709834,-0.027408003,-0.016713479,-0.023653359,-0.002300149,0.012016475,-0.008397161,0.004181121,-0.183108408,-0.078538083,-0.053930175,1,0.026543683,0.014900658,0.021213495
0.004073247,-0.034616982,0.055265507,0.025815538,0.013303922,-0.056422264,0.183550073,-0.015439298,-0.299926512,-0.04517274,0.062381215,-0.11618976,-0.137354214,-0.005156744,0.020948731,-0.012810319,0.013143594,0.023440816,0.040107309,0.045235912,0.060405641,0.129426671,0.257765978,-0.272764928,0.026543683,1,0.612598216,-0.024876546
0.000693761,-0.026517474,0.02368952,0.035222586,0.03194376,-0.053364018,0.165977712,-0.002896492,-0.346132982,-0.021160361,0.098667806,-0.110786601,-0.121902831,-0.029442961,0.008991323,-0.027098558,0.007828645,0.029205462,0.043449937,0.068087527,0.077538089,0.146722566,0.222714876,-0.327886198,0.014900658,0.612598216,1,-0.022762468
-0.005524848,0.016066817,0.048447698,-0.035040463,0.074903973,0.262631752,-0.086057354,0.009143453,0.016376983,-0.033750292,0.011864187,0.040721356,0.048211653,-0.024027734,-0.02430486,-0.015930251,-0.01867374,-0.008863473,-0.012910393,-0.020672438,-0.02331896,-0.036414138,-0.102565138,0.000501717,0.021213495,-0.024876546,-0.022762468,1